preferredLabel	conceptUri	skillType	altLabels	hiddenLabels	description
vedligeholde sorteringsudstyr	http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517	skill/competence			Udføre rutinemæssig vedligeholdelse samt mindre reparationer på det udstyr, der anvendes til sortering af affald og genanvendelige materialer.
informere om værelsesfaciliteter	http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443	skill/competence	"informere om faciliteterne på værelset
informere gæster om værelsesfaciliteter
informere og demonstrere værelsesfaciliteter"		Præcisere gæsternes indkvarteringsfaciliteter og vise, hvordan de kan bruge dem.
bygtyper	http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73	knowledge			De forskellige typer byg; deres egenskaber og kvalitet.
KDevelop	http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05	knowledge			Edb-programmet KDevelop er en række softwareudviklingsværktøjer til udarbejdelse af programmer såsom compiler, debugger, kodeeditor, kodefremhæver, som er pakket i en ensartet brugergrænseflade. Det er udviklet af softwaresamfundet KDE.
foretage indkøb af reservedele	http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f	skill/competence			Bestille særlige dele til vedligeholdelse og reparation af en lang række køretøjer.
inspicere offshoreanlæg	http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b	skill/competence			Gennemføre regelmæssige inspektioner under og efter opførelsen af offshoreanlæg, som f.eks. olieplatforme, for at sikre risikominimering og overholdelse af regler.
transportere patient til medicinsk klinik	http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9	skill/competence			Bistå ved løft og transport af patienten til udrykningskøretøjet og til det modtagende hospital ved ankomsten.
justere indstillinger for tilskæring af kuverter	http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136	skill/competence			Sørge for, at der anvendes den rette rudetilskæring og lapstandard. Dette klargøres ved at gummiere modellen med en tør lap samt rudematerialet under overføringen. Justeres på grundlag af ruden, gummiet og lappens placering samt graden af ensartethed.
klargøre olier	http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d	skill/competence			Vælge de passende olier til kunden, blande og blende dem med henblik på at skabe skræddersyede forbindelser med specifikke behov og forhold for kunder, føre fortegnelser over de anvendte behandlinger og blandinger, der anvendes under behandlingen.
indkøbe forsyninger	http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5	skill/competence			Købe og fylde op med forsyninger; sørge for, alle nødvendige varer er tilgængelige på lager.
tilstræbe høj kvalitet i udviklingen af fødevarer	http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a	skill/competence			Forsøge at udvikle fødevarer i så god kvalitet som muligt.
sørge for personlige hygiejnestandarder under rengøring	http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf	skill/competence			Sørge for at holde sig ren og ordentlig og benytte beskyttelsesudstyr under udførelse af rengøringsaktiviteter, som krævet i sundheds- og sikkerhedsprocedurerne for opgaven eller organisationen.
samarbejde med kontorassistenter	http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3	skill/competence			Give instrukser til kontorassistenter om adressaterne, det rette format, det krævede antal kopier osv., for at de kan få udleveret de endelige dokumenter.
vurdere jernbaneoperationer	http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2	skill/competence			Gennemgå og undersøge eksisterende jernbanemateriel, anlæg, systemer og processer for at forbedre jernbanesikkerheden og -effektiviteten, øge kvaliteten og reducere omkostningerne.
udøve ekstrem sport	http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d	skill/competence			Træne i aktive sportsgrene, der anses for at have en høj grad af iboende fare, og som involverer hastighed, højde, en høj grad af fysisk udfoldelse og meget specialiseret udstyr.
sørge for pasning af børn på settet	http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18	skill/competence			Sørge for, at der altid er en chaperone til stede, når der ansættes mindreårige børn til at optræde i en film.
organisere arbejdskraft	http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5	skill/competence			Tilrettelægge, tildele og koordinere holdmedlemmer. Tilrettelægge produktionsprogrammerne og planlægge produktion og salg. Indkøb af materialer og udstyr. Styre lagre.
bruge værktøj til glasindgravering	http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96	skill/competence			Bruge værktøj til gravering, som anvender stål, sten eller kobberhjul i henhold til typen af glas eller glasvarer.
betjene murbrækker	http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8	skill/competence			Bruge en murbrækker til at nedrive en konstruktion eller dele af den. Hejse murbrækkeren op i luften med en kran. Dumpe eller svinge kuglen på en kontrolleret måde for at ramme konstruktionen. Undgå at ramme ved siden af, da kuglens vægt og kraft kan destabilisere kranen.
evaluere kvalitet af beklædningsgenstande	http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6	skill/competence			Bedømme sømme, konstruktion, vedhæftninger, lynlåse, udsmykning, skygger i beklædningen; bedømme mønsterets kontinuitet og sammenhæng; bedømme bånd og foringer.
ansøge om refusion	http://data.europa.eu/esco/skill/01819474-b960-4b8f-b020-2da26518d43a	skill/competence			Foretage undersøgelser hos leverandøren med henblik på tilbagelevering, bytte eller tilbagebetaling af varer.
Absorb (styringssystemer til e-læring)	http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec	knowledge			Læringssystemet Absorb er en e-læringsplatform til at skabe, administrere og levere e-læringskurser eller uddannelsesprogrammer for elever på sekundærtrinnet.
varetage administrative opgaver i forbindelse med små fartøjer	http://data.europa.eu/esco/skill/0194a8eb-c262-411a-ad3f-f3d587630562	skill/competence			Opfylde de administrative krav og kravene til arbejdskraft. Planlægge proviantering, modtagelse og pakning. Frigive skibet i overensstemmelse med gældende bestemmelser.
kosmetikingredienser	http://data.europa.eu/esco/skill/0196d283-9b1a-43a5-b219-43580c7cf560	knowledge			En række forskellige kilder til kosmetiske midler, som består af stoffer fra knuste insekter til rust.
menneskelig adfærd som en del af hotelsikkerheden	http://data.europa.eu/esco/skill/01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0	knowledge	"kendskab til menneskelig adfærd og interaktioner som en del af hotelsikkerhed
adfærdsanalyse som en del af hotelsikkerheden"		Kendetegnene ved menneskelig adfærd og menneskelig interaktion og dynamik med henblik på at sikre deres sikkerhed i hoteller eller restaurationer.
rådgive om byggematerialer	http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521	skill/competence			Rådgive om og afprøve en bred vifte af byggematerialer.
vedligeholde roterende udstyr	http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22	skill/competence			Udføre rutinemæssig vedligeholdelse af roterende udstyr for at sikre, at det er rent og sikkert, og at det fungerer.
lede frivillige i genbrugsbutik	http://data.europa.eu/esco/skill/01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1	skill/competence			koordinere et personale, der arbejder frivilligt i en genbrugsbutik.
pumpe produkter til opbevaring	http://data.europa.eu/esco/skill/01d3d692-dcba-4544-82d2-fc27726bdbbc	skill/competence			Oplagringstanke til forarbejdning af bleget papirmasse eller andet papirfremstillingsudstyr til yderligere produktionstrin.
medikobiologisk videnskab og lægevidenskab forbundet med tandteknik	http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808	knowledge			Den adfærdsmæssige side og det sociale miljø, som påvirker menneskers sundhed med hensyn til tandlægeerhvervet.
fokusere på detaljer ved støbeprocesser	http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4	skill/competence			Deltage i støbearbejdet for metalbehandling med henblik på særlige forhold og oplysninger om støbningen og støbeformene.
biomedicinsk videnskab	http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8	knowledge			De principper for naturvidenskab, der anvendes på lægemidler. Medicinske videnskaber som medicinsk mikrobiologi og klinisk virologi anvender biologiske principper for medicinsk viden og opfindelser.
holde sig opdateret mht. produktviden	http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba	skill/competence			Indhente de seneste oplysninger om udviklingen i forbindelse med eksisterende eller understøttede produkter, metoder eller teknikker.
skrive ungarsk	http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a	skill/competence			Formulere skrevne tekster på ungarsk.
overvåge borevæske	http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37	skill/competence			"Overvåge og vedligeholde boringsvæskerne eller ""mudder"". Tilføje forskellige kemikalier til væsken med henblik på at udføre forskellige funktioner i brøndoperationer: holde borebitten afkølet, hydrostatisk tryk, osv."
udvikle effektivitetsplaner for skibsfart	http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750	skill/competence			Tilrettelægge den mest effektive brug af lastrum og fartøjsbevægelse; monitorere antallet af tilgængelige kraner og havnepladser; og vurdere skibes fysiske tilstand samt virkningen af lastens vægt på skibes stabilitet.
passe emballagemaskiner	http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8	skill/competence			Emballagemaskiner til f.eks. påfyldning, mærkning og forsegling. Lagre og sortere produkter, der skal forarbejdes i henhold til specifikationerne. Genpåfyldning af emballage efter behov, såsom kasser, kartoner, indpakningspapir, plastfolie, lim, blæk eller mærkater.
rådgive om håndtering af lerprodukter	http://data.europa.eu/esco/skill/01ffbbf3-0c62-45e0-92d9-01a86dc7c81d	skill/competence			Rådgive andre arbejdstagere om afdækning af slutprodukter med presenninger.
vedligeholde boreudstyr	http://data.europa.eu/esco/skill/0200e5e6-218d-4dae-b1ab-250382250ecb	skill/competence			Vedligeholdelse og reparation af en række boremaskiner.
kontrollere træsygdomme	http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5	skill/competence			Angive syge eller uønskede træer. Fjerne dem ved hjælp af maskin- eller håndsave.
analysere det kunstneriske koncept baseret på sceneoptræden	http://data.europa.eu/esco/skill/0207f83d-a1e4-4b47-b80c-84d41257791f	skill/competence			Analysere det kunstneriske koncept, formen og strukturen af en liveoptræden baseret på observationer under prøver eller improvisation. Skabe et struktureret grundlag for udformningsprocessen til en bestemt produktion.
